feature_method,degree,n_components,gamma,accuracy,precision,recall,f1_score,C
Linear,1,5,0.1,0.764,0.5384615384615384,0.3387096774193548,0.4158415841584158,10.0
Linear,1,10,0.1,0.764,0.5384615384615384,0.3387096774193548,0.4158415841584158,10.0
Linear,1,5,0.5,0.764,0.5384615384615384,0.3387096774193548,0.4158415841584158,10.0
Linear,1,10,0.5,0.764,0.5384615384615384,0.3387096774193548,0.4158415841584158,10.0
polynomial,2,5,0.1,0.776,0.5882352941176471,0.3225806451612903,0.4166666666666667,10.0
polynomial,2,10,0.1,0.776,0.5882352941176471,0.3225806451612903,0.4166666666666667,10.0
polynomial,2,5,0.5,0.776,0.5882352941176471,0.3225806451612903,0.4166666666666667,10.0
polynomial,2,10,0.5,0.776,0.5882352941176471,0.3225806451612903,0.4166666666666667,10.0
pca,1,5,0.1,0.764,0.56,0.22580645161290322,0.3218390804597701,10.0
pca,1,10,0.1,0.74,0.45161290322580644,0.22580645161290322,0.3010752688172043,10.0
pca,1,5,0.5,0.764,0.56,0.22580645161290322,0.3218390804597701,10.0
pca,1,10,0.5,0.74,0.45161290322580644,0.22580645161290322,0.3010752688172043,10.0
rbf,1,5,0.1,0.74,0.4666666666666667,0.3387096774193548,0.3925233644859813,10.0
rbf,1,10,0.1,0.74,0.4666666666666667,0.3387096774193548,0.3925233644859813,10.0
rbf,1,5,0.5,0.708,0.36585365853658536,0.24193548387096775,0.2912621359223301,10.0
rbf,1,10,0.5,0.708,0.36585365853658536,0.24193548387096775,0.2912621359223301,10.0
Linear,1,5,0.1,0.764,0.5384615384615384,0.3387096774193548,0.4158415841584158,10.0
Linear,1,10,0.1,0.764,0.5384615384615384,0.3387096774193548,0.4158415841584158,10.0
Linear,1,5,0.5,0.764,0.5384615384615384,0.3387096774193548,0.4158415841584158,10.0
Linear,1,10,0.5,0.764,0.5384615384615384,0.3387096774193548,0.4158415841584158,10.0
polynomial,3,5,0.1,0.744,0.4,0.06451612903225806,0.1111111111111111,10.0
polynomial,3,10,0.1,0.744,0.4,0.06451612903225806,0.1111111111111111,10.0
polynomial,3,5,0.5,0.744,0.4,0.06451612903225806,0.1111111111111111,10.0
polynomial,3,10,0.5,0.744,0.4,0.06451612903225806,0.1111111111111111,10.0
pca,1,5,0.1,0.764,0.56,0.22580645161290322,0.3218390804597701,10.0
pca,1,10,0.1,0.74,0.45161290322580644,0.22580645161290322,0.3010752688172043,10.0
pca,1,5,0.5,0.764,0.56,0.22580645161290322,0.3218390804597701,10.0
pca,1,10,0.5,0.74,0.45161290322580644,0.22580645161290322,0.3010752688172043,10.0
rbf,1,5,0.1,0.74,0.4666666666666667,0.3387096774193548,0.3925233644859813,10.0
rbf,1,10,0.1,0.74,0.4666666666666667,0.3387096774193548,0.3925233644859813,10.0
rbf,1,5,0.5,0.708,0.36585365853658536,0.24193548387096775,0.2912621359223301,10.0
rbf,1,10,0.5,0.708,0.36585365853658536,0.24193548387096775,0.2912621359223301,10.0
Linear,1,5,0.1,0.684,0.36065573770491804,0.3548387096774194,0.35772357723577236,100.0
Linear,1,10,0.1,0.684,0.36065573770491804,0.3548387096774194,0.35772357723577236,100.0
Linear,1,5,0.5,0.684,0.36065573770491804,0.3548387096774194,0.35772357723577236,100.0
Linear,1,10,0.5,0.684,0.36065573770491804,0.3548387096774194,0.35772357723577236,100.0
polynomial,2,5,0.1,0.724,0.4222222222222222,0.3064516129032258,0.35514018691588783,100.0
polynomial,2,10,0.1,0.724,0.4222222222222222,0.3064516129032258,0.35514018691588783,100.0
polynomial,2,5,0.5,0.724,0.4222222222222222,0.3064516129032258,0.35514018691588783,100.0
polynomial,2,10,0.5,0.724,0.4222222222222222,0.3064516129032258,0.35514018691588783,100.0
pca,1,5,0.1,0.752,0.5,0.24193548387096775,0.32608695652173914,100.0
pca,1,10,0.1,0.712,0.38636363636363635,0.27419354838709675,0.32075471698113206,100.0
pca,1,5,0.5,0.752,0.5,0.24193548387096775,0.32608695652173914,100.0
pca,1,10,0.5,0.712,0.38636363636363635,0.27419354838709675,0.32075471698113206,100.0
rbf,1,5,0.1,0.7,0.3968253968253968,0.4032258064516129,0.4,100.0
rbf,1,10,0.1,0.7,0.3968253968253968,0.4032258064516129,0.4,100.0
rbf,1,5,0.5,0.72,0.35714285714285715,0.16129032258064516,0.2222222222222222,100.0
rbf,1,10,0.5,0.72,0.35714285714285715,0.16129032258064516,0.2222222222222222,100.0
Linear,1,5,0.1,0.684,0.36065573770491804,0.3548387096774194,0.35772357723577236,100.0
Linear,1,10,0.1,0.684,0.36065573770491804,0.3548387096774194,0.35772357723577236,100.0
Linear,1,5,0.5,0.684,0.36065573770491804,0.3548387096774194,0.35772357723577236,100.0
Linear,1,10,0.5,0.684,0.36065573770491804,0.3548387096774194,0.35772357723577236,100.0
polynomial,3,5,0.1,0.756,0.52,0.20967741935483872,0.2988505747126437,100.0
polynomial,3,10,0.1,0.756,0.52,0.20967741935483872,0.2988505747126437,100.0
polynomial,3,5,0.5,0.756,0.52,0.20967741935483872,0.2988505747126437,100.0
polynomial,3,10,0.5,0.756,0.52,0.20967741935483872,0.2988505747126437,100.0
pca,1,5,0.1,0.752,0.5,0.24193548387096775,0.32608695652173914,100.0
pca,1,10,0.1,0.712,0.38636363636363635,0.27419354838709675,0.32075471698113206,100.0
pca,1,5,0.5,0.752,0.5,0.24193548387096775,0.32608695652173914,100.0
pca,1,10,0.5,0.712,0.38636363636363635,0.27419354838709675,0.32075471698113206,100.0
rbf,1,5,0.1,0.7,0.3968253968253968,0.4032258064516129,0.4,100.0
rbf,1,10,0.1,0.7,0.3968253968253968,0.4032258064516129,0.4,100.0
rbf,1,5,0.5,0.72,0.35714285714285715,0.16129032258064516,0.2222222222222222,100.0
rbf,1,10,0.5,0.72,0.35714285714285715,0.16129032258064516,0.2222222222222222,100.0
