accuracy_validation,accuracy_train,precision_validation,recall_validation,f1_validation,precision_train,recall_train,f1_train,activation,alpha,hidden_layer_sizes,learning_rate_init
0.744,0.8500669344042838,0.47368421052631576,0.2903225806451613,0.36,0.7818181818181819,0.4942528735632184,0.6056338028169014,tanh,1.0,"(20,)",0.01
0.696,0.9759036144578314,0.375,0.3387096774193548,0.3559322033898305,0.9936708860759493,0.9022988505747126,0.9457831325301205,tanh,0.1,"(15, 15)",0.01
0.724,0.9370816599732262,0.4222222222222222,0.3064516129032258,0.35514018691588783,0.9440559440559441,0.7758620689655172,0.8517350157728707,relu,0.1,"(20,)",0.001
0.752,0.8380187416331994,0.5,0.27419354838709675,0.3541666666666667,0.7912087912087912,0.41379310344827586,0.5433962264150943,tanh,1.0,"(15,)",0.001
0.752,0.8621151271753681,0.5,0.27419354838709675,0.3541666666666667,0.7983193277310925,0.5459770114942529,0.6484641638225256,relu,1.0,"(15, 15)",0.01
0.704,0.9022757697456493,0.38461538461538464,0.3225806451612903,0.3508771929824561,0.8633093525179856,0.6896551724137931,0.7667731629392971,relu,0.01,"(15,)",0.001
0.748,0.8406961178045516,0.4857142857142857,0.27419354838709675,0.35051546391752575,0.7835051546391752,0.4367816091954023,0.5608856088560885,relu,1.0,"(20,)",0.001
0.668,0.9410977242302544,0.3384615384615385,0.3548387096774194,0.3464566929133858,0.9391891891891891,0.7988505747126436,0.8633540372670807,relu,0.0001,"(15,)",0.01
0.712,0.9129852744310576,0.3958333333333333,0.3064516129032258,0.34545454545454546,0.8811188811188811,0.7241379310344828,0.7949526813880127,relu,0.0001,"(15,)",0.001
0.696,0.9611780455153949,0.37037037037037035,0.3225806451612903,0.3448275862068966,0.9617834394904459,0.867816091954023,0.9123867069486404,relu,0.0001,"(20,)",0.01
0.676,0.9946452476572959,0.3442622950819672,0.3387096774193548,0.34146341463414637,0.9885057471264368,0.9885057471264368,0.9885057471264368,tanh,0.01,"(20,)",0.01
0.72,0.8969210174029452,0.4090909090909091,0.2903225806451613,0.33962264150943394,0.8702290076335878,0.6551724137931034,0.7475409836065574,relu,0.1,"(15,)",0.001
0.668,0.9906291834002677,0.3333333333333333,0.3387096774193548,0.336,0.9940828402366864,0.9655172413793104,0.9795918367346939,tanh,0.01,"(15, 15)",0.01
0.744,0.8473895582329317,0.47058823529411764,0.25806451612903225,0.3333333333333333,0.8,0.45977011494252873,0.583941605839416,tanh,1.0,"(20,)",0.001
0.68,0.9732262382864793,0.3448275862068966,0.3225806451612903,0.3333333333333333,0.9935897435897436,0.8908045977011494,0.9393939393939394,tanh,0.001,"(15,)",0.001
